"Statistics for community hospital stays 2016 New Jersey, by county or county equivalent",,,,,,,,,,
,,,,,,,,,,
"Analysis Type: Community | Setting of Care: Hospital Inpatient | Geographic Settings: State | Years: 2016 | Categorization Type: Stays Related to Mental and/or Substance Use Disorders | Outcome and Measures: Number, Costs, Days | State: New Jersey | Community Level: County",,,,,,,,,,
,,,,,,,,,,
"2016 State Total, New Jersey",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
Type of mental disorder,Anxiety disorders,3844,662.9460744072,5.7466181061,22090,3809.6979145827,13575.3930662436,52183810.9466407,89.997535418,
,Bipolar disorders,1257,216.7854358819,6.8591885442,8622,1486.9721783401,10287.9802334894,12931991.1534962,22.3028427926,
,Depressive disorders,4358,751.5918294138,6.3031206976,27469,4737.3740161011,12502.5952162615,54486309.9524678,93.9684841101,
,"Disruptive, impulse-control, and conduct disorders",333,57.4300319401,8.2072072072,2733,471.3401720486,8099.4654753422,2697122.00328893,4.6515256095,
,Eating disorders,58,10.002828386,14.4482758621,838,144.5236239212,17238.4452964622,999829.827194812,1.7243320994,
,Obsessive-compulsive disorders,77,13.2796169952,6.5064935065,501,86.4037417477,8823.9236613821,679442.121926421,1.1717832662,
,Personality disorders,275,47.4272035541,7.6218181818,2096,361.4815223615,9802.1675410438,2695596.07378703,4.6488939524,
,Schizophrenia and related disorders,1551,267.4894280452,9.3629916183,14522,2504.5012727737,10759.654236498,16688223.7208084,28.7809375768,
,Somatic symptom disorders,60,10.3477535027,8.0333333333,482,83.1269531385,16770.7821763105,1006246.93057863,1.7353992001,
,Suicidal ideation or attempt,583,100.5456715347,7.3636363636,4293,740.3817631192,10413.9043365458,6071306.22820624,10.4707300482,
,Trauma- and stressor-related disorders,665,114.6876013218,7.3473684211,4886,842.6520602377,14405.165648504,9579435.15625519,16.5209389487,
,Miscellaneous mental disorders,297,51.2213798384,4.4612794613,1325,228.5128898516,7612.1711416715,2260814.82907644,3.8990590944,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Warren, New Jersey",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,257654.34656161,2867.5559471329,5.9671475319,1537461.4981706,17111.1293925436,13270.1220812972,3419104633.64943,380.528174934,
"Warren, New Jersey",,3977,3550.195497313,5.5423686196,22042,19676.4921176197,11765.3266140305,46790703.9439996,417.6920956955,
Age group,<1,14,1221.6404886562,14.3571428571,201,17539.2670157068,15692.5967724028,219696.354813639,191.7071158932,
,1-17,75,328.96179657,6.0933333333,457,2004.4738804333,10289.5562631495,771716.719736212,33.8487091423,
,18-44,876,2515.0732127476,5.0422374429,4417,12681.5963250071,8626.7199751551,7557006.69823589,216.9683232339,
,45-64,1450,4146.8855459589,5.715862069,8288,23703.025796488,12541.7246257454,18185500.7073309,520.090965719,
,65-84,1561,8538.9201903616,5.5445227418,8655,47344.2371861495,12834.9113443555,20035296.6085389,1095.9628361982,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,1644,3012.9755883,5.6836982968,9344,17124.8442196319,12041.6416214685,19796458.8256942,362.8117224854,
,Female,2332,4058.616728741,5.4416809605,12690,22085.697378955,11569.7423091155,26980639.0648575,469.57149683,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,2105,†,5.7558194774,12116,†,12503.521712864,26319913.2055787,†,
,Medicaid,659,†,5.8877086495,3880,†,9290.4376174708,6122398.38991328,†,
,Private insurance,1025,†,5.0790243902,5206,†,12155.7615152965,12459655.553179,†,
,Uninsured,89,†,5.2134831461,464,†,10553.724036206,939281.439222334,†,
,Other,68,†,4.0735294118,277,†,10207.6094954297,694117.445689222,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,85,96.2627406569,2.9058823529,247,279.7281993205,5164.4546920588,438978.648825001,†,
,Neonatal birth hospitalization,13,14.1304347826,14.1538461538,184,200,15351.474314177,199569.166084302,†,
,Nonmaternal/nonneonatal hospitalization,3879,350.881953867,5.5712812581,21611,1954.8620533695,11897.9520827765,46152156.1290903,†,
Type of substance use disorder,Alcohol-related disorders,659,588.2773026727,5.7344461305,3779,3373.4445019728,11496.8857530615,7576447.71126753,67.6335693995,
,Cannabis-related disorders,200,178.5363589295,5.235,1047,934.6378389959,8295.2620795298,1659052.41590597,14.8100588805,
,Neonatal abstinence syndrome,*,*,*,*,*,*,*,*,
,Opioid-related disorders,458,408.8482619485,5.8340611354,2672,2385.2457552981,11727.573734503,5371228.77040241,47.9479813822,
,Sedative-related disorders,38,33.9219081966,5.8947368421,224,199.960722001,8878.5984072704,337386.739476276,3.0117900009,
,Stimulant-related disorders,95,84.8047704915,5.5263157895,525,468.6579421899,8627.3108106186,819594.52700877,7.3163711325,
,Miscellaneous substances and addictive disorders,104,92.8389066433,5.7403846154,597,532.9310314045,8304.9348555165,863713.224973716,7.7102107173,
Type of mental disorder,Anxiety disorders,1971,1759.4758172502,5.0690005074,9991,8918.783810323,11672.8656285285,23007218.1538297,205.3812479141,
,Bipolar disorders,475,424.0238524576,5.6863157895,2701,2411.1335273428,9122.0485235389,4332973.04868097,38.6796615726,
,Depressive disorders,1862,1662.1735016336,5.6498388829,10520,9391.0124796915,11780.1749929344,21934685.8368438,195.8069471786,
,"Disruptive, impulse-control, and conduct disorders",42,37.4926353752,6.1904761905,260,232.0972666083,5892.7987245991,247497.546433163,2.2093655392,
,Eating disorders,22,19.6389994822,10.2272727273,225,200.8534037957,13244.9199512596,291388.238927711,2.6011697607,
,Obsessive-compulsive disorders,52,46.4194533217,7.4038461538,385,343.6824909393,10301.7264450039,535689.775140206,4.7820050985,
,Personality disorders,62,55.3462712681,7.9516129032,493,440.0921247612,8141.7745867606,504790.024379155,4.5061686488,
,Schizophrenia and related disorders,228,203.5314491796,8.3947368421,1914,1708.5929549553,9905.7422281546,2258509.22801926,20.161300709,
,Somatic symptom disorders,23,20.5316812769,6.6086956522,152,135.6876327864,12551.3974497207,288682.141343576,2.5770129202,
,Suicidal ideation or attempt,225,200.8534037957,7.0711111111,1591,1420.2567352841,7910.7462717566,1779917.91114523,15.8890031525,
,Trauma- and stressor-related disorders,165,147.2924961168,6.4848484848,1070,955.1695202728,11235.302232715,1853824.86839798,16.5487571048,
,Miscellaneous mental disorders,106,94.6242702326,4.0566037736,430,383.8531716984,6216.7983942883,658980.629794564,5.8826001124,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
